time,p_x,p_y,p_z
0.000000000000000000e+00,9.168458729982376099e-02,9.854459762573242188e-02,7.400717735290527344e-01
1.000000000000000021e-02,9.187795966863632202e-02,9.400656074285507202e-02,7.419404387474060059e-01
2.000000000000000042e-02,9.196721762418746948e-02,8.950312435626983643e-02,7.437682747840881348e-01
2.999999999999999889e-02,9.195450693368911743e-02,8.503560721874237061e-02,7.455548644065856934e-01
4.000000000000000083e-02,9.184207767248153687e-02,8.060537278652191162e-02,7.472978830337524414e-01
5.000000000000000278e-02,9.163203090429306030e-02,7.621396332979202271e-02,7.489978075027465820e-01
5.999999999999999778e-02,9.132657200098037720e-02,7.186288386583328247e-02,7.506542801856994629e-01
7.000000000000000666e-02,9.092821180820465088e-02,6.755347549915313721e-02,7.522657513618469238e-01
8.000000000000000167e-02,9.043935686349868774e-02,6.328705698251724243e-02,7.538312673568725586e-01
8.999999999999999667e-02,8.986236155033111572e-02,5.906496569514274597e-02,7.553515434265136719e-01
1.000000000000000056e-01,8.919931948184967041e-02,5.488869547843933105e-02,7.568310499191284180e-01
1.100000000000000006e-01,8.845248818397521973e-02,5.075968801975250244e-02,7.582719326019287109e-01
1.199999999999999956e-01,8.762463927268981934e-02,4.667912796139717102e-02,7.596718668937683105e-01
1.300000000000000044e-01,8.671834319829940796e-02,4.264832288026809692e-02,7.610297799110412598e-01
1.400000000000000133e-01,8.573616296052932739e-02,3.866859525442123413e-02,7.623459696769714355e-01
1.499999999999999944e-01,8.468065410852432251e-02,3.474126011133193970e-02,7.636215090751647949e-01
1.600000000000000033e-01,8.355401456356048584e-02,3.086784854531288147e-02,7.648614048957824707e-01
1.700000000000000122e-01,8.235892653465270996e-02,2.704962529242038727e-02,7.660658359527587891e-01
1.799999999999999933e-01,8.109832555055618286e-02,2.328760363161563873e-02,7.672324776649475098e-01
1.900000000000000022e-01,7.977507263422012329e-02,1.958280056715011597e-02,7.683607935905456543e-01
2.000000000000000111e-01,7.839196920394897461e-02,1.593624614179134369e-02,7.694526910781860352e-01
2.099999999999999922e-01,7.695146650075912476e-02,1.234921161085367203e-02,7.705167531967163086e-01
2.200000000000000011e-01,7.545635849237442017e-02,8.822528645396232605e-03,7.715549468994140625e-01
2.300000000000000100e-01,7.390955090522766113e-02,5.356957670301198959e-03,7.725681662559509277e-01
2.399999999999999911e-01,7.231405377388000488e-02,1.953149214386940002e-03,7.735555171966552734e-01
2.500000000000000000e-01,7.067283987998962402e-02,-1.388274831697344780e-03,7.745155692100524902e-01
2.600000000000000089e-01,6.898865103721618652e-02,-4.666332155466079712e-03,7.754527330398559570e-01
2.700000000000000178e-01,6.726437062025070190e-02,-7.880291901528835297e-03,7.763691544532775879e-01
2.800000000000000266e-01,6.550297141075134277e-02,-1.102972030639648438e-02,7.772641777992248535e-01
2.899999999999999800e-01,6.370718032121658325e-02,-1.411390677094459534e-02,7.781407237052917480e-01
2.999999999999999889e-01,6.187967211008071899e-02,-1.713232137262821198e-02,7.789987325668334961e-01
3.099999999999999978e-01,6.002308055758476257e-02,-2.008448354899883270e-02,7.798380255699157715e-01
3.200000000000000067e-01,5.813991278409957886e-02,-2.296967804431915283e-02,7.806627750396728516e-01
3.300000000000000155e-01,5.623311921954154968e-02,-2.578778378665447235e-02,7.814701795578002930e-01
3.400000000000000244e-01,5.430578067898750305e-02,-2.853869274258613586e-02,7.822592258453369141e-01
3.499999999999999778e-01,5.236099660396575928e-02,-3.122190199792385101e-02,7.830358743667602539e-01
3.599999999999999867e-01,5.040185153484344482e-02,-3.383740037679672241e-02,7.838011980056762695e-01
3.699999999999999956e-01,4.843124002218246460e-02,-3.638502210378646851e-02,7.845595479011535645e-01
3.800000000000000044e-01,4.645175859332084656e-02,-3.886504471302032471e-02,7.853081822395324707e-01
