time,p_x,p_y,p_z
0.000000000000000000e+00,-1.122623160481452942e-01,1.349394619464874268e-01,2.687001228332519531e-01
1.000000000000000021e-02,-1.123756691813468933e-01,1.366289705038070679e-01,2.645356059074401855e-01
2.000000000000000042e-02,-1.125129908323287964e-01,1.382965296506881714e-01,2.604505717754364014e-01
2.999999999999999889e-02,-1.126722842454910278e-01,1.399388909339904785e-01,2.564518749713897705e-01
4.000000000000000083e-02,-1.128516048192977905e-01,1.415531039237976074e-01,2.525404095649719238e-01
5.000000000000000278e-02,-1.130482554435729980e-01,1.431370675563812256e-01,2.487066388130187988e-01
5.999999999999999778e-02,-1.132597476243972778e-01,1.446884721517562866e-01,2.449451386928558350e-01
7.000000000000000666e-02,-1.134842932224273682e-01,1.462047696113586426e-01,2.412632852792739868e-01
8.000000000000000167e-02,-1.137196198105812073e-01,1.476838290691375732e-01,2.376550883054733276e-01
8.999999999999999667e-02,-1.139633432030677795e-01,1.491239219903945923e-01,2.341158688068389893e-01
1.000000000000000056e-01,-1.142131462693214417e-01,1.505228728055953979e-01,2.306504547595977783e-01
1.100000000000000006e-01,-1.144669428467750549e-01,1.518789231777191162e-01,2.272525131702423096e-01
1.199999999999999956e-01,-1.147224083542823792e-01,1.531900465488433838e-01,2.239272296428680420e-01
1.300000000000000044e-01,-1.149773150682449341e-01,1.544555127620697021e-01,2.206501960754394531e-01
1.400000000000000133e-01,-1.152296811342239380e-01,1.556725353002548218e-01,2.174437940120697021e-01
1.499999999999999944e-01,-1.154775992035865784e-01,1.568401455879211426e-01,2.142966985702514648e-01
1.600000000000000033e-01,-1.157188937067985535e-01,1.579572111368179321e-01,2.112079262733459473e-01
1.700000000000000122e-01,-1.159517988562583923e-01,1.590225994586944580e-01,2.081769853830337524e-01
1.799999999999999933e-01,-1.161748766899108887e-01,1.600358784198760986e-01,2.051917016506195068e-01
1.900000000000000022e-01,-1.163862347602844238e-01,1.609947383403778076e-01,2.022811323404312134e-01
2.000000000000000111e-01,-1.165847554802894592e-01,1.619003862142562866e-01,1.994095295667648315e-01
2.099999999999999922e-01,-1.167686060070991516e-01,1.627512425184249878e-01,1.965973079204559326e-01
2.200000000000000011e-01,-1.169366538524627686e-01,1.635473817586898804e-01,1.938317716121673584e-01
2.300000000000000100e-01,-1.170872226357460022e-01,1.642875522375106812e-01,1.911249309778213501e-01
2.399999999999999911e-01,-1.172195225954055786e-01,1.649731844663619995e-01,1.884438842535018921e-01
2.500000000000000000e-01,-1.173318028450012207e-01,1.656026840209960938e-01,1.858133375644683838e-01
2.600000000000000089e-01,-1.174232289195060730e-01,1.661767661571502686e-01,1.832150965929031372e-01
2.700000000000000178e-01,-1.174923777580261230e-01,1.666938960552215576e-01,1.806731820106506348e-01
2.800000000000000266e-01,-1.175386756658554077e-01,1.671556681394577026e-01,1.781597286462783813e-01
2.899999999999999800e-01,-1.175604984164237976e-01,1.675615161657333374e-01,1.756900846958160400e-01
2.999999999999999889e-01,-1.175570338964462280e-01,1.679124087095260620e-01,1.732492446899414062e-01
3.099999999999999978e-01,-1.175271570682525635e-01,1.682087182998657227e-01,1.708395630121231079e-01
3.200000000000000067e-01,-1.174698844552040100e-01,1.684505641460418701e-01,1.684684753417968750e-01
3.300000000000000155e-01,-1.173848584294319153e-01,1.686389446258544922e-01,1.661235690116882324e-01
3.400000000000000244e-01,-1.172711625695228577e-01,1.687738001346588135e-01,1.638152152299880981e-01
3.499999999999999778e-01,-1.171279251575469971e-01,1.688566803932189941e-01,1.615342050790786743e-01
3.599999999999999867e-01,-1.169543787837028503e-01,1.688882857561111450e-01,1.592817455530166626e-01
3.699999999999999956e-01,-1.167499870061874390e-01,1.688692122697830200e-01,1.570577323436737061e-01
3.800000000000000044e-01,-1.165141761302947998e-01,1.688001453876495361e-01,1.548617929220199585e-01
3.900000000000000133e-01,-1.162464842200279236e-01,1.686821579933166504e-01,1.526881754398345947e-01
4.000000000000000222e-01,-1.159459650516510010e-01,1.685159206390380859e-01,1.505441516637802124e-01
4.099999999999999756e-01,-1.156124696135520935e-01,1.683029532432556152e-01,1.484155058860778809e-01
4.199999999999999845e-01,-1.152449771761894226e-01,1.680437326431274414e-01,1.463138610124588013e-01
